Token,SHAP Importance,Importance Ratio,Cumulative Importance
agree,2.7353049772377674e+19,0.0020834875511444523,0.8065633113177412
giving,2.708422079660809e+19,0.0020630107915485824,0.8086263221092898
trap,2.7080146743605654e+19,0.0020627004700749657,0.8106890225793647
use,2.7023399217168056e+19,0.002058377999057113,0.8127474005784218
imagine,2.685541751446916e+19,0.002045582797450504,0.8147929833758722
thats,2.684576536773723e+19,0.0020448475914049205,0.8168378309672771
art,2.68263593633625e+19,0.0020433694319722914,0.8188812003992494
ring,2.6561376905036894e+19,0.0020231856624187195,0.8209043860616682
lot,2.623025091246282e+19,0.001997963725957173,0.8229023497876253
matter,2.618122130929001e+19,0.001994229130776812,0.8248965789184022
smart,2.6113062865885245e+19,0.0019890374878148405,0.826885616406217
chance,2.6090170027708383e+19,0.0019872937355185235,0.8288729101417356
inside,2.599876831060599e+19,0.0019803316475129526,0.8308532417892486
difference,2.591807160587775e+19,0.0019741849625502595,0.8328274267517989
shes,2.5785657377102336e+19,0.0019640989429091675,0.834791525694708
trying,2.5632832282874573e+19,0.0019524582233559288,0.8367439839180639
user,2.5402188139870147e+19,0.0019348900104987513,0.8386788739285627
want,2.529048928321426e+19,0.0019263818851066562,0.8406052558136693
cope,2.5129506287830925e+19,0.0019141197765074963,0.8425193755901768
future,2.508125648747256e+19,0.0019104445790714363,0.8444298201692482
got,2.4967739634650644e+19,0.0019017979765292073,0.8463316181457774
mom,2.49563935980984e+19,0.001900933746539932,0.8482325518923173
rich,2.4352150320858153e+19,0.0018549084090924014,0.8500874603014097
femininity,2.421139321113807e+19,0.001844186910455967,0.8519316472118657
friend,2.413619423041145e+19,0.0018384589882861737,0.8537701062001518
instead,2.4048937669926883e+19,0.0018318126377315507,0.8556019188378834
clinton,2.3877078409216193e+19,0.0018187220817160673,0.8574206409195995
boring,2.3537422873929556e+19,0.001792850448193079,0.8592134913677926
immediately,2.321423357048308e+19,0.0017682330510107815,0.8609817244188034
plan,2.3135592404018086e+19,0.0017622429368297017,0.8627439673556331
working,2.3057727425210655e+19,0.001756311945025664,0.8645002793006588
sister,2.303611243311382e+19,0.0017546655265338834,0.8662549448271927
toe,2.275995080681069e+19,0.0017336302374054504,0.8679885750645981
behavior,2.2697449464493466e+19,0.0017288694970225167,0.8697174445616207
blame,2.268744448714936e+19,0.001728107415795034,0.8714455519774157
bos,2.240697606033201e+19,0.0017067440767660853,0.8731522960541818
fought,2.2252139558879064e+19,0.0016949501479016794,0.8748472462020834
dick,2.2250287585514353e+19,0.0016948090827011795,0.8765420552847846
feminine,2.204513553805842e+19,0.0016791826081207152,0.8782212378929053
mgtow,2.1806960241974157e+19,0.0016610407457502958,0.8798822786386555
mother,2.1419238088411496e+19,0.0016315078678089672,0.8815137865064645
thinking,2.1379149980854387e+19,0.0016284543482292775,0.8831422408546937
american,2.1293569166856147e+19,0.0016219356396367825,0.8847641764943305
bang,2.093026297592489e+19,0.0015942625307016549,0.8863584390250321
self,2.0849763550353486e+19,0.0015881308725338085,0.8879465698975659
problem,2.084017354327615e+19,0.0015874003996787782,0.8895339702972447
male,2.0589164207337665e+19,0.0015682809657947734,0.8911022512630394
young,2.0398983808275255e+19,0.0015537948848196876,0.8926560461478591
jew,2.0394917087277937e+19,0.0015534851218264418,0.8942095312696855
worst,2.0349167534382617e+19,0.0015500003687652282,0.8957595316384507
attention,2.0310313897695097e+19,0.0015470408790911779,0.8973065725175419
said,2.0088162153338278e+19,0.001530119534024206,0.898836692051566
start,2.0011461237744767e+19,0.0015242772091598744,0.900360969260726
shit,2.0009144114769084e+19,0.001524100713415726,0.9018850699741416
black,1.982242587403638e+19,0.0015098783457684064,0.9033949483199101
waste,1.9754424347803345e+19,0.0015046986552203921,0.9048996469751305
fuck,1.9550622190014312e+19,0.001489175002019621,0.9063888219771501
kavanaugh,1.9404521029472612e+19,0.0014780464459087119,0.9078668684230589
lol,1.9328817844811088e+19,0.0014722801184192064,0.909339148541478
le,1.932646238431516e+19,0.0014721007024980817,0.910811249243976
wild,1.930340604034647e+19,0.0014703444959312298,0.9122815937399072
lead,1.8817654287661564e+19,0.0014333446828176072,0.9137149384227249
virgin,1.8193629310219411e+19,0.0013858125691073155,0.9151007509918322
realize,1.8020663678887993e+19,0.0013726377406090772,0.9164733887324412
dont,1.7905479448794294e+19,0.001363864133589551,0.9178372528660308
hanging,1.7687968786565245e+19,0.00134729630072387,0.9191845491667546
typical,1.7431845979976817e+19,0.001327787372705538,0.9205123365394602
die,1.733038963931807e+19,0.0013200594219100609,0.9218323959613702
given,1.7327394384271823e+19,0.0013198312727035451,0.9231522272340738
west,1.6929936422691195e+19,0.0012895568162188886,0.9244417840502926
believe,1.667487320211516e+19,0.00127012859708986,0.9257119126473825
super,1.6432096212321507e+19,0.001251636222742258,0.9269635488701248
doe,1.5906632721972152e+19,0.0012116115582227875,0.9281751604283476
hold,1.5747149647847922e+19,0.0011994636989412374,0.9293746241272888
maga,1.5700314990010608e+19,0.0011958962932084882,0.9305705204204973
end,1.5694048211375432e+19,0.0011954189513624848,0.9317659393718597
lonely,1.5094743323110117e+19,0.0011497697720412913,0.932915709143901
voter,1.502750680276136e+19,0.001144648352152297,0.9340603574960533
incel,1.4777839499435465e+19,0.0011256311411745065,0.9351859886372278
probably,1.4387260499167506e+19,0.0010958806566190873,0.9362818692938469
plot,1.3988245207334578e+19,0.0010654875779617411,0.9373473568718087
leg,1.397968975804201e+19,0.0010648359075906546,0.9384121927793994
loser,1.3733549008426115e+19,0.0010460873149502844,0.9394582800943496
watch,1.3683256662294444e+19,0.0010422565363733011,0.940500536630723
sexual,1.3671241711705434e+19,0.0010413413550612305,0.9415418779857841
wow,1.326540131431327e+19,0.0010104284066787075,0.9425523063924629
money,1.3215561672099328e+19,0.001006632110654302,0.9435589385031172
killed,1.2736547524513237e+19,0.0009701455023373919,0.9445290840054547
lulz,1.2261792417204025e+19,0.0009339833060136798,0.9454630673114683
cost,1.2156395072647092e+19,0.0009259551681228253,0.9463890224795911
support,1.2116917762422856e+19,0.0009229481731043786,0.9473119706526955
reply,1.2072434537238063e+19,0.0009195598764910751,0.9482315305291865
willing,1.18974808819651e+19,0.0009062336197912997,0.9491377641489778
