word,SI_t,IR_t,cumulative_importance
learn,0.015367817444105944,0.002703976397345414,0.002703976397345414
especie,0.010405473876744509,0.001830849166984513,0.004534825564329927
robin,0.010176675394177437,0.001790591941203432,0.006325417505533359
top,0.008358847349882126,0.001470744041910986,0.007796161547444344
ari,0.007740866113454104,0.0013620098847425199,0.009158171432186864
interesante,0.007289326749742031,0.001282561271665841,0.010440732703852705
actitud,0.007266671862453222,0.001278575131100581,0.011719307834953285
cuentan,0.006974689196795225,0.001227200611638416,0.012946508446591702
nicaragua,0.006810486316680908,0.0011983090195941898,0.014144817466185892
myglookhere,0.006787113845348358,0.0011941966197000144,0.015339014085885908
becker,0.006621886510401964,0.0011651247742335857,0.016504138860119495
abortista,0.006504281475726101,0.0011444321001353203,0.017648570960254815
contestó,0.006455734682579836,0.0011358902637091817,0.018784461223963995
temporarily,0.0060394397005438805,0.0010626429200409839,0.01984710414400498
acoge,0.005767119613786538,0.001014728042746725,0.020861832186751705
mamaria,0.005687426310032606,0.0010007059597046232,0.021862538146456327
ingrid,0.005644804798066616,0.0009932066799406374,0.022855744826396966
osorio,0.00549770270784696,0.0009673239818020881,0.023823068808199052
materias,0.005422405898571014,0.0009540754645147055,0.02477714427271376
montes,0.005272863743205865,0.0009277634354978194,0.02570490770821158
equipos,0.005211079994646402,0.0009168925490852283,0.026621800257296806
págame,0.005210426636040211,0.0009167775902593203,0.027538577847556128
pal,0.005050044506788254,0.0008885582615465355,0.028427136109102663
pedo,0.005015361433227857,0.0008824557546267467,0.02930959186372941
producción,0.00501482277435975,0.0008823609772863158,0.030191952841015727
prioridades,0.004972192924469709,0.0008748602304597546,0.03106681307147548
prefieran,0.004951828242176108,0.0008712770527924239,0.031938090124267904
chicastentaciones,0.004880347351233165,0.000858699948550138,0.03279679007281804
vende,0.0048576729993025465,0.0008547103831698563,0.0336515004559879
is,0.004780914324025313,0.0008412046497112158,0.034492705105699115
escribió,0.004775449633598328,0.0008402431342593885,0.0353329482399585
técnico,0.004728386178612709,0.0008319622920434076,0.03616491053200191
declarando,0.004724557356288035,0.0008312886085334882,0.036996199140535396
from,0.004709300274650256,0.0008286041161655267,0.03782480325670092
cumplir,0.004689041687202474,0.0008250396059478855,0.03864984286264881
vándalas,0.0046750763579020424,0.0008225823981532934,0.0394724252608021
nació,0.004661494757359226,0.0008201927076562845,0.040292617968458386
corta,0.004637226647361606,0.0008159227196192444,0.04110854068807763
scott,0.004624679684638977,0.0008137150742471052,0.04192225576232474
lache,0.004585732705891132,0.00080686233073521,0.042729118093059945
crea,0.00458377165098985,0.0008065172819873152,0.04353563537504726
fan,0.004547152668237686,0.000800074150721813,0.044335709525769075
parar,0.004506339831277728,0.0007928931083747256,0.045128602634143804
extremadamente,0.004428290420522292,0.0007791602692596723,0.045907762903403475
canal,0.004386483691632748,0.0007718043510508115,0.04667956725445429
mutuamente,0.004350503006329139,0.0007654735285917911,0.04744504078304608
vuelva,0.0043136365711688995,0.0007589868579314896,0.04820402764097757
guarros,0.004309256871541341,0.0007582162472404495,0.04896224388821802
zamora,0.004295684862881899,0.0007558282444408864,0.04971807213265891
popular,0.004280499980917999,0.000753156455647442,0.05047122858830635
aguanten,0.00426064245402813,0.0007496625122677038,0.051220891100574054
lasso,0.004238806199282408,0.0007458204105734585,0.05196671151114751
more,0.004191768666108449,0.0007375441293152817,0.05270425564046279
comienza,0.004155147199829419,0.0007311005610717862,0.05343535620153458
creará,0.004139822907745838,0.0007284042429868832,0.05416376044452146
dedillos,0.004125545008314981,0.0007258920382964562,0.054889652482817915
griffith,0.004102115519344807,0.0007217696061158531,0.05561142208893377
pegados,0.0040786649566143755,0.0007176434659949035,0.05632906555492868
apoyaré,0.0040741413831710815,0.0007168475406224937,0.05704591309555117
entiendes,0.004014555157886612,0.0007063633097053763,0.05775227640525654
aislada,0.004012080530325572,0.0007059278975499671,0.05845820430280651
kan,0.004010319709777832,0.0007056180801527755,0.05916382238295929
boyé,0.004008417949080467,0.0007052834642544687,0.059869105847213756
largos,0.0040078590003152685,0.00070518511689487,0.06057429096410863
strangrbrina,0.003992721710043648,0.0007025217018873,0.06127681266599593
ash,0.003980392590165138,0.0007003523860899993,0.061977165052085934
mciatica,0.003976684063673019,0.0006996998687016264,0.06267686492078756
latejacr,0.003942847587168216,0.0006937463210250556,0.0633706112418126
exito,0.0038156647235155104,0.0006713684223602316,0.06404197966417284
suerte,0.003802382686413861,0.0006690314402245348,0.06471101110439738
leones,0.0037625147961080074,0.0006620166617895964,0.06537302776618698
rue,0.003762166015803814,0.0006619552936926739,0.06603498305987965
muros,0.003739309497177601,0.0006579336759765896,0.06669291673585624
brutal,0.0037244423866217985,0.000655317799246805,0.06734823453510305
terminará,0.0036875084042549133,0.000648819243616296,0.06799705377871935
artate,0.003684640396386385,0.0006483146159675028,0.06864536839468685
gmaortegazelaya,0.0036837890123327575,0.0006481648144492028,0.06929353320913606
maestro,0.003674621693789959,0.0006465518194317365,0.0699400850285678
temporada,0.003670734353363514,0.0006458678396278519,0.07058595286819565
brilla,0.0036706235259771347,0.0006458483394849046,0.07123180120768055
triste,0.003654902190014365,0.0006430821612990509,0.0718748833689796
girl,0.0036457572132349014,0.0006414730973278085,0.0725163564663074
gary,0.00362978782504797,0.000638663274209167,0.07315501974051657
estableció,0.0035716500133275986,0.0006284338924991775,0.07378345363301575
bts,0.003552707377821207,0.0006251009247892804,0.07440855455780503
