word,SI_t,IR_t,cumulative_importance
learn,0.015466002747416496,0.002908396908867132,0.002908396908867132
name,0.012661008164286613,0.002380914940306978,0.00528931184917411
japón,0.011938198159138361,0.0022449898134979467,0.007534301662672056
paulina,0.010878057529528936,0.002045629333581082,0.009579930996253138
chuty,0.009932223707437515,0.0018677643603621816,0.01144769535661532
dalila,0.00860003987327218,0.0016172458903602,0.01306494124697552
comparación,0.008270595222711563,0.0015552935023397487,0.014620234749315269
aparte,0.008011357858777046,0.0015065436630798301,0.0161267784123951
eu,0.007602092809975147,0.0014295809712788325,0.01755635938367393
plena,0.006793004460632801,0.0012774311176509603,0.01883379050132489
claaaaa,0.00654172144519786,0.0012301771013884923,0.020063967602713385
temporarily,0.006240988227849206,0.0011736239264010769,0.02123759152911446
att,0.006207302212715149,0.0011672892383832367,0.022404880767497696
kr,0.006137772463262081,0.001154214101149255,0.023559094868646952
xxxii,0.005632520742004826,0.0010592010219261916,0.024618295890573145
rentable,0.005596828646957874,0.0010524890886231353,0.02567078497919628
tho,0.005561036323862416,0.0010457583073377515,0.026716543286534035
osorio,0.00549770270784696,0.001033848359043096,0.027750391645577133
palacios,0.005388798591281687,0.0010133688336509093,0.028763760479228042
melissa,0.0053051533177495,0.0009976392583394738,0.029761399737567515
plantear,0.005209795261422793,0.000979707082793824,0.03074110682036134
nose,0.005128627642989159,0.0009644434329414455,0.03170555025330279
llaneros,0.005106922652986314,0.0009603617883909937,0.03266591204169378
infancia,0.005099946074187756,0.0009590498359399582,0.03362496187763374
is,0.0050478089445581045,0.0009492453978360394,0.034574207275469775
pedo,0.005015361433227857,0.0009431436116670768,0.03551735088713685
xd,0.004948848082373539,0.0009306357111330874,0.03644798659826994
panaut,0.0049383797579341466,0.000928667132506937,0.03737665373077688
xatakaciencia,0.004923021886497736,0.0009257790697966225,0.0383024328005735
explotada,0.00492198330660661,0.0009255837638346172,0.039228016564408115
ah,0.004921700805425644,0.0009255306392118628,0.04015354720361998
h,0.0048831794410943985,0.0009182866590590045,0.041071833862678986
chicastentaciones,0.004880347351233165,0.0009177540817969565,0.041989587944475944
vende,0.0048576729993025465,0.0009134901477900526,0.042903078092266
millones,0.0048450978679789435,0.0009111253820734376,0.04381420347433944
criticando,0.004844989762031695,0.0009111050526445642,0.044725308526984
versión,0.004818075802177191,0.0009060438562304301,0.04563135238321443
directa,0.004802839871010055,0.0009031787245067459,0.046534531107721176
from,0.004709300274650256,0.0008855885121323841,0.04742011961985356
aprendan,0.004653321074632307,0.0008750615689427319,0.04829518118879629
bolivianas,0.004637725245406445,0.0008721287580379044,0.049167309946834194
jeje,0.004631478960315387,0.000870954138031208,0.0500382640848654
patéticos,0.004554485126088063,0.0008564753723717371,0.05089473945723714
fan,0.004547152668237686,0.000855096496517729,0.05174983595375487
industria,0.004524741321802139,0.0008508820209508225,0.05260071797470569
pinochet,0.004514970147854411,0.0008490445421549312,0.05344976251686062
r,0.004462339915335178,0.0008391473755714412,0.05428890989243206
votaron,0.004460222087800503,0.0008387491160369023,0.055127659008468964
uci,0.004402916878461838,0.0008279728155005275,0.05595563182396949
more,0.004397590644657612,0.0008269712120361352,0.05678260303600562
ésta,0.004357530735433102,0.0008194379070147374,0.05760204094302036
vuelva,0.0043136365711688995,0.0008111835665915382,0.0584132245096119
enfermeros,0.004286458482965827,0.0008060727005837109,0.059219297210195615
hernán,0.004274174038852965,0.0008037625988807374,0.06002305980907635
recordaba,0.004244169220328331,0.0007981201634775274,0.06082117997255388
enfermedades,0.0042349789291620255,0.0007963919202555264,0.061617571892809406
superalo,0.004178049353261788,0.0007856862579538031,0.06240325815076321
retorno,0.004175898618996143,0.0007852818102763939,0.06318853996103961
javierlanari,0.004154631037575502,0.0007812824208366627,0.06396982238187628
ruben,0.004139841948118474,0.0007785013181326065,0.06474832370000888
instrumento,0.004127164371311665,0.0007761172874429049,0.06552444098745179
lugares,0.004125394721678088,0.0007757845031024307,0.06630022549055423
argumentaciones,0.004112989874556661,0.0007734517594962034,0.06707367725005042
cliché,0.0040791767338911695,0.0007670931653981238,0.06784077041544855
diferente,0.004059121389449997,0.0007633217383053209,0.06860409215375386
incapacidad,0.0040451028901669715,0.0007606855458354522,0.06936477769958932
furia,0.004043868742883205,0.00076045346323442,0.07012523116282374
ropa,0.004015585407614708,0.0007551347544374044,0.07088036591726114
kan,0.004010319709777832,0.0007541445348207452,0.07163451045208188
boyé,0.004008417949080467,0.0007537869068658074,0.0723882973589477
largos,0.0040078590003152685,0.0007536817960050718,0.07314197915495277
correa,0.003980923208615018,0.0007486164940910409,0.07389059564904381
recibe,0.003980923208615018,0.0007486164940910409,0.07463921214313485
ash,0.003980392590165138,0.0007485167107737467,0.0753877288539086
mina,0.003975452855229378,0.000747587788798727,0.07613531664270733
debieron,0.0039666508634885154,0.0007459325656625955,0.07688124920836992
sw,0.003952287137508392,0.0007432314529754545,0.07762448066134538
ls,0.003926802426576614,0.0007384390282159453,0.07836291968956133
par,0.0039148196578025814,0.000736185656854823,0.07909910534641615
metro,0.003911873325705528,0.000735631596228848,0.079834736942645
harían,0.003885738884231874,0.0007307169890069114,0.0805654539316519
olvide,0.003870754037052393,0.0007278990738721214,0.08129335300552402
