word,SI_t,IR_t,cumulative_importance
suelo,0.00930971559137106,0.007928357527396906,0.007928357527396906
salvameoficial,0.006130584326544495,0.005220939771538426,0.013149297298935332
imposible,0.005954492216308911,0.0050709758769383025,0.018220273175873634
militares,0.005860319593921304,0.0049907764108801204,0.023211049586753754
materias,0.005422405898571014,0.004617839524806102,0.027828889111559854
nube,0.005241939797997475,0.004464150644315664,0.03229303975587552
corta,0.004919616172888449,0.004189652791582158,0.036482692547457674
técnico,0.004728386178612709,0.004026797143662536,0.04050948969112021
prevaricaria,0.004647192338274584,0.0039576506924197405,0.04446714038353995
femboy,0.004598359577357769,0.003916063644587984,0.04838320402812794
tres,0.004141743294894695,0.0035271992260493988,0.05191040325417733
trabajando,0.00409581158310175,0.003488082775136832,0.055398486029314166
santander,0.004066283814609051,0.003462936281315548,0.05886142231062971
yenas,0.003956086312731107,0.0033690896772018706,0.06223051198783158
respetemos,0.003906682293072826,0.0033270161329247024,0.06555752812075628
dias,0.0038549210876226425,0.0032829351576435157,0.0688404632783998
dedicaba,0.003773669246584177,0.0032137393117350477,0.07205420259013484
vacaciones,0.003668983032306035,0.003124586240747993,0.07517878883088283
estudios,0.003573695197701454,0.003043437035561015,0.07822222586644384
musulmanas,0.0035550173682471118,0.003027530587260164,0.081249756453704
sugar,0.003495041301680936,0.0029764536564821347,0.08422621011018613
florero,0.003484215778219076,0.0029672344038009467,0.08719344451398708
vive,0.0034504205298920474,0.002938453630765066,0.09013189814475216
señor,0.003378384187817574,0.002877105905442323,0.09300900405019448
belleza,0.0033194296061992644,0.0028268988935996314,0.09583590294379411
relación,0.0032954720883061747,0.002806496147085927,0.09864239909088005
meo,0.0032235542312264442,0.0027452493261775814,0.10138764841705762
estafadores,0.003186538194616636,0.00271372565935775,0.10410137407641537
viven,0.003184078061687095,0.002711630556318469,0.10681300463273384
aquí,0.0031548570841550827,0.0026867453323929863,0.10949974996512683
laschet,0.003153081976675562,0.002685233612017743,0.11218498357714457
feministas,0.0031527848914265633,0.0026849806077184108,0.11486996418486298
pocos,0.003139920992383449,0.002674025429785297,0.11754398961464828
simbolica,0.0031365888814131417,0.00267118773116451,0.12021517734581279
mientras,0.0031184617429971693,0.002655750263403019,0.12287092760921581
moisabanero,0.0030953998366991674,0.002636110239322868,0.12550703784853867
siendo,0.0030814805166852295,0.0026242562417946257,0.1281312940903333
chile,0.0030727042883102384,0.002616782213655301,0.1307480763039886
seria,0.003060903400182724,0.0026067323190803833,0.13335480862306898
entiendo,0.0030567196663469076,0.0026031693597907825,0.13595797798285975
ninguna,0.0030466560274362564,0.002594598944666155,0.1385525769275259
capaz,0.0030383579432964325,0.0025875321146210002,0.1411401090421469
kast,0.0030268169939517975,0.0025777035896019703,0.14371781263174888
m,0.0030200136825442314,0.002571909740726566,0.14628972237247545
cortadi,0.002987193430049552,0.002543959295477901,0.14883368166795335
amiguito,0.002964868675917387,0.0025249470463136955,0.15135862871426706
empresa,0.0029559507966041565,0.0025173523851355385,0.1538759810994026
congreso,0.0029345528843502202,0.002499129454797439,0.15637511055420003
cuotas,0.002923234784975648,0.002489490713689667,0.1588646012678897
meta,0.002923036925494671,0.0024893222122257955,0.1613539234801155
calzoncillos,0.0029015756167826198,0.0024710452920766244,0.16382496877219213
gamer,0.0028961292933672666,0.002466407083871126,0.16629137585606327
ayudado,0.0028696995605492874,0.002443898945026505,0.16873527480108977
