word,SI_t,IR_t,cumulative_importance
learn,0.016097738407552242,0.024333323938948152,0.024333323938948152
falta,0.00728838425129652,0.011017113739102781,0.03535043767805093
temporarily,0.006518253590911627,0.009852985067110577,0.04520342274516151
osorio,0.00549770270784696,0.008310321457783845,0.05351374420294536
ropa,0.005441967956721782,0.008226072868357807,0.06173981707130316
more,0.005365800112485886,0.008110937637519798,0.06985075470882296
pobre,0.005213337019085884,0.007880474590692311,0.07773122929951527
prioridades,0.004972192924469709,0.0075159614384903315,0.0852471907380056
ii,0.00494748253064851,0.00747860923395779,0.0927257999719634
h,0.0048831794410943985,0.007381408753444248,0.10010720872540764
vende,0.0048576729993025465,0.00734285324366159,0.10745006196906923
from,0.004709300274650256,0.007118573193802243,0.11456863516287147
fan,0.004547152668237686,0.006873471047595726,0.1214421062104672
r,0.004462339915335178,0.006745268182181882,0.12818737439264907
is,0.004446541424840689,0.006721387201064158,0.13490876159371323
carmen,0.004252528119832277,0.00642811689937875,0.14133687849309198
llevan,0.003984270617365837,0.006022619149240963,0.14735949764233294
ash,0.003980392590165138,0.0060167571275252674,0.15337625476985822
gran,0.0036825458519160748,0.005566532320631068,0.15894278709048928
girl,0.0036457572132349014,0.0055109226542519735,0.16445370974474127
gresetluna,0.0033275759778916836,0.005029960243577635,0.1694836699883189
poema,0.0032963526900857687,0.004982763155552903,0.1744664331438718
parte,0.00321424996946007,0.004858656771993037,0.17932508991586485
volante,0.0032131262123584747,0.004856958101975577,0.18418204801784044
trabajadores,0.003210826776921749,0.0048534822778602904,0.18903553029570072
xx,0.003180691972374916,0.004807930539950885,0.1938434608356516
profesora,0.0030631646513938904,0.004630276368867677,0.19847373720451927
sigue,0.0030296333134174347,0.004579590434705356,0.20305332763922462
ir,0.0029745008796453476,0.00449625230753779,0.2075495799467624
término,0.002917687874287367,0.00441037383018147,0.21195995377694388
va,0.0029075825808658486,0.004395098679592082,0.21635505245653597
pro,0.0028651918203723868,0.004331020851950043,0.220686073308486
contenido,0.002822851451734702,0.004267019196582609,0.22495309250506862
textos,0.002804573935767015,0.004239390923245009,0.22919248342831364
fashionista,0.002796689034550495,0.004227472115107453,0.2334199555434211
link,0.002796212211251259,0.004226751349524847,0.23764670689294595
marcos,0.0027868179604411125,0.0042125510101765715,0.24185925790312252
aborto,0.0027067909638086958,0.004091582288756417,0.24595084019187893
invisibles,0.002695284318178892,0.004074188855687003,0.25002502904756596
unavailable,0.002628354704938829,0.003973018124814963,0.25399804717238095
mifaviwpor,0.0025958568245793385,0.003923894364066952,0.2579219415364479
drive,0.0025940556079149246,0.003921171646908196,0.26184311318335607
capaz,0.002590512577444315,0.003915816005886817,0.2657589291892429
rubia,0.0025903227395333702,0.0039155290471062755,0.26967445823634917
través,0.002536089912367364,0.0038335507643099606,0.27350800900065914
positivity,0.0025256621030469734,0.0038177880990372037,0.27732579709969635
escribir,0.002501464681699872,0.003781211303140831,0.2811070084028372
mola,0.0024947817903012036,0.0037711094517418596,0.28487811785457906
pues,0.002448002768990894,0.003700398333802665,0.2885785161883817
escribe,0.0023957528173923492,0.003621417363566171,0.2921999335519479
pública,0.0023731974263985953,0.003587322658973186,0.2957872562109211
she,0.0023569464683532715,0.0035627577283957575,0.2993500139393169
tisi,0.002309815026819706,0.00349151389242885,0.3028415278317457
subir,0.0023066774010658264,0.003486771060738125,0.30632829889248386
justifica,0.0023046838782297876,0.0034837576537786563,0.30981205654626254
plata,0.0022592442110180855,0.003415071102044059,0.31322712764830657
policy,0.0022582821547985077,0.0034136168589046947,0.31664074450721125
daniel,0.0022498032610331264,0.0034008001722737233,0.320041544679485
mítico,0.0022313790395855904,0.003372950139091703,0.3234144948185767
