word,SI_t,IR_t,cumulative_importance
días,0.011773932725191116,0.01036246063980534,0.01036246063980534
fútbol,0.009135536849498749,0.008040358581621283,0.01840281922142662
corta,0.008094115182757378,0.007123783696837171,0.025526602918263794
mejores,0.00779835507273674,0.006863479636125494,0.032390082554389285
ari,0.007740866113454104,0.0068128825169050744,0.03920296507129436
parar,0.00734264962375164,0.006462404660696987,0.04566536973199135
alternativa,0.0066529375811417895,0.005855376061064123,0.05152074579305547
sitio,0.006050278171896934,0.005324964128766728,0.056845709921822196
título,0.005820341408252716,0.0051225924388207285,0.06196830236064292
mamaria,0.005687426310032606,0.005005611349673271,0.06697391371031619
deja,0.005395557731389999,0.004748732299251242,0.07172264600956743
todas,0.005318419386943181,0.004680841384906229,0.07640348739447365
págame,0.005210426636040211,0.0045857949244978045,0.08098928231897146
molina,0.00498051227380832,0.00438344295045803,0.08537272526942949
jeff,0.004847089760005474,0.004266015275269455,0.08963874054469895
scott,0.004624679684638977,0.004070267965880608,0.09370900851057956
comentarios,0.004507075451935331,0.003966762258746864,0.09767577076932643
razones,0.004409462213516235,0.003880851003378671,0.10155662177270511
parte,0.004352830350399017,0.0038310082306868055,0.10538763000339191
hacen,0.004269931465387344,0.003758047355755081,0.10914567735914699
comienza,0.004155147199829419,0.003657023554984752,0.11280270091413173
apoyaré,0.0040741413831710815,0.0035857288052770935,0.11638842971940883
nadie,0.004056861934562524,0.0035705208360910104,0.11995895055549984
dulce,0.004056455132861932,0.003570162802228496,0.12352911335772833
avergonzó,0.004054926956693332,0.0035688178255102302,0.12709793118323856
voy,0.003725930582731962,0.0032792619009618306,0.1303771930842004
orden,0.0036214571446180344,0.0031873128542304514,0.13356450593843086
vlivfoypum,0.003500730227679015,0.0030810588137033658,0.1366455647521342
hija,0.0034478744955580213,0.003034539485244828,0.13968010423737903
quiere,0.003440066639866148,0.003027667643934302,0.14270777188131334
fi,0.0034322282299399376,0.0030207689112648666,0.14572854079257822
pesada,0.003351195715367794,0.002949450664218856,0.14867799145679708
seguirme,0.0032741595059633255,0.0028816496408542816,0.15155964109765135
alta,0.0032551372423768044,0.0028649077872785786,0.15442454888492993
caer,0.0032492707084332195,0.002859744539916683,0.15728429342484662
menos,0.0032486320318033295,0.002859182428548012,0.16014347585339464
media,0.0032241190783679485,0.0028376081150991135,0.16298108396849376
disfrazado,0.003221242999037107,0.0028350768233414295,0.1658161607918352
juanfrivero,0.0031322066011350777,0.0027567142073570707,0.16857287499919227
electo,0.0030686096288263798,0.002700741310471933,0.1712736163096642
cara,0.003050871193408966,0.0026851293783236034,0.1739587456879878
sociales,0.0030418460412571825,0.0026771861713999717,0.17663593185938778
llama,0.0030414611644422013,0.0026768474340435164,0.17931277929343128
boba,0.0030345616163685914,0.0026707750114287466,0.18198355430486002
dps,0.0030269725248217583,0.002664095708575446,0.18464765001343547
larga,0.0030089598149061203,0.002648242382259281,0.18729589239569475
máxima,0.002958787977695465,0.0026040852004189457,0.18989997759611368
twitter,0.002950394410934103,0.0025966978637301523,0.19249667545984384
sororidad,0.0029385766635338464,0.0025862968409670183,0.19508297230081084
área,0.0029228435319271825,0.0025724498145893227,0.19765542211540016
derecho,0.002922417178081396,0.002572074572514418,0.20022749668791456
muñoz,0.002917688339948654,0.002567912632730466,0.20279540932064502
facebook,0.002909787256564749,0.002560958739966805,0.20535636806061183
lloyd,0.002907649613916874,0.0025590773602853006,0.20791544542089713
ridley,0.0028977273032069206,0.0025503445471643437,0.21046578996806148
redes,0.002834448885793487,0.002494652016461079,0.21296044198452255
anzuelo,0.0028255266810042986,0.0024867994154562823,0.21544724139997884
mata,0.00281599722802639,0.0024784123638476744,0.21792565376382653
nwuul,0.002802202871276273,0.002466271689851068,0.22039192545367758
romantizar,0.002785381550590197,0.0024514669277051065,0.22284339238138268
escuelafit,0.0027616147262354697,0.002430549296556927,0.2252739416779396
cárcel,0.0027422024868428707,0.0024134642179063676,0.22768740589584596
invisibles,0.0027288449784031226,0.0024017080223612203,0.2300891139182072
luego,0.0027171975570834347,0.002391456906799615,0.2324805708250068
formación,0.002712932135909796,0.0023877028290368424,0.23486827365404364
tgqbhshhix,0.0026577290308512284,0.0023391175333063404,0.23720739118735
diciendo,0.002645236040864672,0.002328122216785448,0.23953551340413543
temprana,0.0026154917820046344,0.0023019437325957214,0.24183745713673116
vas,0.0025710023939609526,0.002262787781627418,0.24410024491835858
ustedes,0.0025610620569851664,0.002254039103249327,0.24635428402160792
alfredo,0.0025514192879199983,0.0022455523200114076,0.24859983634161933
final,0.0025258855894207954,0.002223079629546604,0.25082291597116596
inscripción,0.002466537318347643,0.002170846094890828,0.2529937620660568
etarra,0.002437261895587047,0.002145080242210078,0.25513884230826683
rico,0.0024231353774666784,0.002132647226715891,0.25727148953498274
millonario,0.0023963539861142635,0.002109076418197948,0.2593805659531807
van,0.0023699646560652625,0.002085850670240469,0.2614664166234212
iba,0.002369176596403122,0.0020851570840427765,0.26355157370746396
cn,0.002348131500184536,0.002066634897249623,0.2656182086047136
sino,0.0022971453333292344,0.002021761008503666,0.26763996961321723
joserra,0.0022832895706718166,0.0020095662900078844,0.2696495359032251
baja,0.002280476037412882,0.0020070900462297865,0.2716566259494549
mullet,0.00227457998941342,0.002001900822989696,0.27365852677244457
largaron,0.002269798866473138,0.0019976928663587956,0.2756562196388034
primero,0.0022327702026814222,0.0019651032397623,0.27762132287856567
encontrado,0.002231637015938759,0.0019641059007004524,0.2795854287792661
hermosa,0.0022292211651802063,0.001961979664804473,0.2815474084440706
dios,0.002223986540255802,0.001957372572509201,0.28350478101657983
volvieron,0.0021902528591454026,0.0019276829224236058,0.28543246393900346
llore,0.0021779943412790696,0.0019168939692456725,0.2873493579082491
pink,0.0021740674351652463,0.0019134378249827074,0.2892627957332318
apenas,0.0021725080182982814,0.0019120653527355713,0.2911748610859674
grasienta,0.00216948828763432,0.0019094076307255615,0.29308426871669296
líquido,0.0021622675160566963,0.0019030524932359396,0.2949873212099289
real,0.0021600977828105292,0.0019011428700125813,0.29688846407994146
pura,0.0021600977828105292,0.0019011428700125813,0.29878960694995405
palabra,0.0021591229985157647,0.0019002849439378733,0.3006898918938919
distintas,0.0021576226378480596,0.0018989644481674718,0.30258885634205934
criterio,0.0021322064308656585,0.0018765951642064067,0.30446545150626575
cumcadett,0.002098451730691724,0.0018468870148458754,0.3063123385211116
malparida,0.0020947307348251343,0.0018436120960818234,0.3081559506171934
tipo,0.002085997723042965,0.001835926007416983,0.3099918766246104
aweona,0.0020804041750633563,0.0018310030201595866,0.31182287964477
entiendo,0.0020761430884401,0.0018272527573164994,0.3136501324020865
quiero,0.0020701875348412804,0.001822011162074157,0.31547214356416065
v,0.002043899397525673,0.0017988744757532016,0.31727101803991387
body,0.002038470469415188,0.0017940963735528321,0.3190651144134667
familiajaneriana,0.0020375894541344182,0.0017933209753589468,0.32085843538882564
cosa,0.002030834524985,0.0017873758345916858,0.32264581122341734
abrazos,0.002021500116421117,0.0017791604452568933,0.32442497166867423
dicen,0.0020125280302535327,0.0017712639427085468,0.3261962356113828
señor,0.001997838169336319,0.0017583351185754556,0.32795457072995826
etapa,0.0019953929198284945,0.001756183008284803,0.32971075373824305
nomás,0.0019909614076217014,0.0017522827506657446,0.3314630364889088
ayuntamiento,0.0019809075941642123,0.0017434341994921616,0.333206470688401
falocentrismo,0.001979651615644495,0.0017423287890673876,0.33494879947746836
virgen,0.0019756334368139505,0.0017387923139619943,0.3366875917914304
thelastduel,0.001971254808207353,0.0017349386001986131,0.338422530391629
comunistas,0.001971218828111887,0.0017349069334368112,0.3401574373250658
sufre,0.001965876497949163,0.0017302050477263867,0.3418876423727922
pretendió,0.0019614879662791886,0.0017263426180898261,0.343613984990882
después,0.0019602775939607194,0.0017252773465444222,0.34533926233742646
casos,0.0019513759762048721,0.0017174428645766256,0.3470567052020031
diga,0.0019415934259692826,0.0017088330572896922,0.3487655382592928
recompensa,0.001930680125951767,0.0016992280557560982,0.3504647663150489
permitiera,0.0019295404975612958,0.001698225047278311,0.3521629913623272
matices,0.0019212116797765095,0.0016908946973871232,0.35385388605971435
byung,0.001916316524147987,0.0016865863784328494,0.3555404724381472
gana,0.0019035907462239265,0.0016753861808500286,0.3572158586189972
