word,SI_t,IR_t,cumulative_importance
learn,0.016097738407552242,0.013311062976444644,0.013311062976444644
brutal,0.010630333330482244,0.008790119011765192,0.022101181988209838
nicaragua,0.006810486316680908,0.005631524750024727,0.027732706738234567
temporarily,0.006518253590911627,0.005389880357625604,0.03312258709586017
fuck,0.006214445767303308,0.005138664629651688,0.038261251725511855
palabras,0.005822257682060202,0.004814368124818868,0.043075619850330725
osorio,0.00549770270784696,0.004545996780242662,0.04762161663057339
ropa,0.005441967956721782,0.00449991025781193,0.05212152688838532
more,0.005365800112485886,0.00443692780985959,0.05655845469824491
pobre,0.005213337019085884,0.0043108575640616546,0.06086931226230656
dicho,0.005079152062535286,0.004199901331458289,0.06506921359376484
prioridades,0.004972192924469709,0.004111457862776428,0.06918067145654128
ii,0.00494748253064851,0.004091025078990327,0.0732716965355316
h,0.0048831794410943985,0.004037853481032618,0.07730955001656423
vende,0.0048576729993025465,0.004016762452939065,0.0813263124695033
from,0.004709300274650256,0.0038940744931877276,0.08522038696269102
vándalas,0.0046750763579020424,0.0038657750700263754,0.0890861620327174
fan,0.004547152668237686,0.0037599962179795227,0.09284615825069692
feliz,0.004546817392110825,0.0037597189814183264,0.09660587723211525
malo,0.004538787994533777,0.003753079550828446,0.1003589567829437
película,0.004508307669311762,0.0037278756670094363,0.10408683244995313
is,0.004446541424840689,0.0036768017615229857,0.10776363421147613
acuerdo,0.00434765312820673,0.0035950319929503754,0.1113586662044265
carmen,0.004252528119832277,0.0035163740507568857,0.11487504025518339
lasso,0.004238806199282408,0.003505027528408666,0.11838006778359206
falta,0.004200666677206755,0.0034734903293694307,0.12185355811296149
griffith,0.004102115519344807,0.003391999337561135,0.12524555745052263
bts,0.0040936279110610485,0.0033849810170042864,0.12863053846752692
ahí,0.004039324509600799,0.0033400780636593974,0.13197061653118633
ash,0.003980392590165138,0.0032913478339171368,0.13526196436510346
etc,0.003920673662557815,0.003241966834789093,0.13850393119989254
cisgénero,0.0038336853807171187,0.003170037072453596,0.14167396827234613
dejando,0.0037384710105305367,0.0030913052378487116,0.14476527351019483
lean,0.0036728570237755777,0.003037049671773597,0.14780232318196843
girl,0.0036457572132349014,0.0030146411025930076,0.15081696428456143
mitad,0.0035031245090067385,0.002896699509779513,0.15371366379434093
grande,0.003487898994030224,0.0028841096798561928,0.15659777347419712
r,0.0034630317240953445,0.0028635471767408396,0.15946132065093796
machista,0.003460762040735477,0.0028616703976943117,0.16232299104863226
as,0.003445718747874101,0.0028492312454617887,0.16517222229409406
mas,0.003410743420115776,0.0028203104878605566,0.1679925327819546
llevan,0.0033561092808783526,0.002775134050671591,0.1707676668326262
gresetluna,0.0033275759778916836,0.002751540140560383,0.1735192069731866
poema,0.0032963526900857687,0.002725721908222777,0.17624492888140939
voz,0.0032675303518772125,0.002701888997703962,0.17894681787911335
volante,0.0032131262123584747,0.0026569027450404543,0.1816037206241538
trabajadores,0.003210826776921749,0.0026550013642915806,0.1842587219884454
xx,0.003180691972374916,0.002630083188150915,0.1868888051765963
lista,0.0031779189594089985,0.002627790210759351,0.18951659538735566
lengua,0.0031158197671175003,0.002576440993965601,0.19209303638132125
hace,0.003111362084746361,0.00257275497986418,0.19466579136118542
reír,0.0030738431960344315,0.0025417309765037818,0.1972075223376892
profesora,0.0030631646513938904,0.002532900992029669,0.19974042332971886
sigue,0.0030296333134174347,0.00250517425550377,0.20224559758522265
maid,0.0030180192552506924,0.002495570704013762,0.2047411682892364
trabajadora,0.002990831754037312,0.0024730896242706794,0.2072142579135071
cuidadora,0.002986665815114975,0.0024696448499833025,0.2096839027634904
primeras,0.0029771188274025917,0.0024617505389032284,0.21214565330239363
reunión,0.002928814229865869,0.0024218079380493424,0.21456746124044296
término,0.002917687874287367,0.0024126076630756684,0.21698006890351862
votos,0.0028950206469744444,0.0023938643537594886,0.2193739332572781
amo,0.0028890457117196284,0.002388923738037983,0.2217628569953161
haremos,0.0028869227195779485,0.0023871682565299013,0.224150025251846
ud,0.0028598861924062175,0.002364812015750238,0.22651483726759622
correcta,0.0028330523831148944,0.002342623400409891,0.2288574606680061
contenido,0.002822851451734702,0.0023341883496852235,0.23119164901769132
textos,0.002804573935767015,0.0023190748498916926,0.233510723867583
fashionista,0.002796689034550495,0.002312554901933854,0.23582327876951686
link,0.002796212211251259,0.0023121606213955524,0.23813543939091242
marcos,0.0027868179604411125,0.002304392606971134,0.24043983199788355
jason,0.002771989442408085,0.002292131049950654,0.2427319630478342
falsas,0.002742145210504532,0.002267453145496359,0.24499941619333057
aborto,0.0027067909638086958,0.002238219063519213,0.24723763525684977
invisibles,0.002695284318178892,0.002228704330408996,0.24946633958725878
instagram,0.002656085967707137,0.002196291596489957,0.2516626311837487
unavailable,0.002628354704938829,0.0021733608856174223,0.25383599206936613
mifaviwpor,0.0025958568245793385,0.0021464887051213595,0.2559824807744875
drive,0.0025940556079149246,0.0021449992966189216,0.2581274800711064
capaz,0.002590512577444315,0.002142069599258476,0.2602695496703649
rubia,0.0025903227395333702,0.0021419126241403615,0.2624114622945053
quedará,0.0025673629716038704,0.002122927415839875,0.26453438971034515
positivity,0.0025256621030469734,0.002088445374109536,0.26662283508445467
leerte,0.0025223235910137496,0.0020856847910514205,0.2687085198755061
escribir,0.002501464681699872,0.002068436762262065,0.27077695663776813
late,0.00249769965497156,0.0020653234983600346,0.27284228013612816
mola,0.0024947817903012036,0.002062910744506013,0.27490519088063414
mosquito,0.002483578057338794,0.002053646486927822,0.27695883736756194
dropear,0.002460107207298279,0.0020342386698115112,0.27899307603737344
teraaaapiaaaaa,0.00245683334974779,0.0020315315489149496,0.2810246075862884
