word,SI_t,IR_t,cumulative_importance
fan,0.00877450406551361,0.007932583728204854,0.007932583728204854
buena,0.007739244028925896,0.0069966576793500605,0.014929241407554915
lenguaje,0.006277008913457394,0.005674725135109314,0.020603966542664227
trans,0.006117131561040878,0.005530188136229539,0.026134154678893767
hacer,0.0055763159568111105,0.005041264200467339,0.031175418879361108
fea,0.0050630781592594255,0.0045772719598620145,0.035752690839223125
plano,0.004956172779202461,0.004480624232313462,0.04023331507153659
bueno,0.004892903985455632,0.004423426127436879,0.04465674119897347
además,0.00480125259075846,0.00434056875375356,0.04899730995272703
sigue,0.0047060651704669,0.004254514638820464,0.053251824591547495
bleu,0.004607714060693979,0.0041656003928174454,0.05741742498436494
signo,0.004434748707960049,0.004009231197202961,0.061426656181567896
female,0.004353440739214421,0.003935724789885887,0.06536238097145378
cha,0.004333410412073135,0.003917616387865075,0.06927999735931885
vieja,0.0042533958330750465,0.0038452792685657574,0.07312527662788461
rapido,0.00420640471080939,0.003802796980214021,0.07692807360809863
hacía,0.004038273108502229,0.003650797732997224,0.08057887134109586
feminista,0.003975345209861795,0.0035939078140823583,0.08417277915517822
europeo,0.0039403218155105914,0.0035622449410513,0.08773502409622952
inclusivo,0.0037494120188057423,0.003389653084510045,0.09112467718073956
paja,0.00364098884165287,0.003291633193651085,0.09441631037439065
cabrea,0.003517928471167882,0.003180380559290497,0.09759669093368115
moderna,0.003360683269177874,0.003038223154002292,0.10063491408768344
re,0.003318682312965393,0.0030002522214763556,0.1036351663091598
perjuicios,0.003253479695154561,0.002941305844425211,0.10657647215358501
parlamento,0.003213991721471151,0.0029056067718437836,0.1094820789254288
despareció,0.0031205700917376414,0.002821149018521968,0.11230322794395077
andas,0.0030398553658631585,0.0027481789319714458,0.11505140687592222
original,0.0030342171279092627,0.0027430816872366,0.11779448856315881
cruzados,0.0030229865612151725,0.0027329287019566455,0.12052741726511546
víctima,0.0030184233162019935,0.0027288033037724192,0.12325622056888788
pepsi,0.002970776753500104,0.00268572846499271,0.1259419490338806
soytontayeso,0.002967518100160219,0.0026827824819187006,0.12862473151579928
mexicana,0.0029109161834986437,0.0026316115622014805,0.13125634307800077
