word,SI_t,IR_t,cumulative_importance
fun,0.022339198039844632,0.005113458962351997,0.005113458962351997
frases,0.019248731434345245,0.004406048869404439,0.009519507831756436
allende,0.01860792189836502,0.004259367092418791,0.013778874924175228
chuty,0.009932223707437515,0.002273493356489111,0.01605236828066434
sánchez,0.009924608282744884,0.002271750180141545,0.018324118460805883
columnas,0.009388778824359179,0.0021490984206026576,0.020473216881408542
fernández,0.00887860544025898,0.002032319355453247,0.02250553623686179
dalila,0.00860003987327218,0.001968555491031137,0.024474091727892926
aparte,0.008011357858777046,0.001833805742287851,0.026307897470180776
eu,0.007602092809975147,0.001740124669760502,0.02804802213994128
princesa,0.00746847502887249,0.0017095394607887962,0.029757561600730075
álbum,0.007436010986566544,0.0017021084174815373,0.031459670018211615
shock,0.006813332438468933,0.0015595768370391715,0.03301924685525079
victor,0.006576030670354764,0.001505258286714264,0.034524505141965055
att,0.006207302212715149,0.0014208560699010848,0.03594536121186614
crítica,0.005935568828135729,0.0013586560970878466,0.03730401730895398
tho,0.005561036323862416,0.0012729253297052128,0.0385769426386592
martina,0.005479980260133743,0.0012543715367361419,0.03983131417539534
tomando,0.005418106913566589,0.0012402086819205745,0.04107152285731591
boric,0.005177360338469347,0.0011851016127280805,0.04225662447004399
eladio,0.005174009595066309,0.0011843346250835713,0.04344095909512756
nose,0.005128627642989159,0.0011739466626704163,0.044614905757797974
fuente,0.0050265015676044505,0.0011505699284414465,0.04576547568623942
panaut,0.0049383797579341466,0.0011303987809976762,0.04689587446723709
hansen,0.004937892003605763,0.0011302871336709703,0.048026161600908064
impartir,0.004912423047547539,0.0011244572707821868,0.04915061887169025
directa,0.004802839871010055,0.0010993736005810834,0.05024999247227133
hicieron,0.00474815908819437,0.0010868571289307327,0.051336849601202064
jr,0.004688565821076433,0.0010732161859883524,0.052410065787190416
jeje,0.004631478960315387,0.0010601489613158081,0.053470214748506224
tratado,0.004623931832611561,0.0010584214181995194,0.054528636166705745
tocando,0.004568500320116679,0.0010457331039700596,0.05557436927067581
vidushi,0.004527203883561823,0.0010362803190832439,0.05661064958975905
total,0.004479963642855485,0.0010254669930277321,0.057636116582786785
vueltas,0.004431528504937887,0.0010143801541163376,0.058650496736903125
uci,0.004402916878461838,0.0010078309316433342,0.05965832766854646
diferencias,0.0043635740876197815,0.0009988253377058783,0.06065715300625234
problemática,0.0043097695801407095,0.000986509446128523,0.06164366245238086
rusia,0.004286810476332903,0.0009812540902771536,0.062624916542658
enfermedades,0.0042349789291620255,0.0009693898107743367,0.06359430635343234
declarado,0.004232061095535755,0.0009687219164980833,0.06456302826993042
líquido,0.004180446267127991,0.0009569072440805152,0.06551993551401093
víctima,0.0041767559679491174,0.0009560625318676456,0.06647599804587857
argumentaciones,0.004112989874556661,0.0009414664259031317,0.06741746447178171
seguido,0.0041058361530303955,0.0009398289337520078,0.06835729340553372
constructiva,0.004087335430085659,0.0009355941045794019,0.06929288751011312
isjekrt,0.004064878419278159,0.000930453678187352,0.07022334118830047
pinché,0.004046821966767311,0.0009263205428458237,0.07114966173114629
fake,0.004026031742493312,0.0009215616451247161,0.072071223376271
correa,0.003980923208615018,0.0009112362683396092,0.07298245964461061
ama,0.003972080536186695,0.0009092121740771785,0.07389167181868779
ro,0.003945990931242704,0.0009032402441991621,0.07479491206288695
nicho,0.003886521343762676,0.0008896276116174223,0.07568453967450438
métodos,0.0038675634500881036,0.0008852881357264502,0.07656982781023083
educadas,0.0038594920188188553,0.0008834405791360511,0.07745326838936689
creadores,0.0038404042577548396,0.0008790713765035333,0.07833233976587042
aprenden,0.003838924691081047,0.0008787327025970212,0.07921107246846744
básico,0.003784595367809137,0.0008662966802963209,0.08007736914876376
selva,0.0037805826314503237,0.0008653781619743591,0.08094274731073813
novia,0.0037762404951666084,0.000864384243765831,0.08180713155450396
parto,0.003719793115225103,0.0008514633967260961,0.08265859495123005
peiohr,0.0037112628752809197,0.0008495108184904854,0.08350810576972054
coulderaseit,0.0037097784690558913,0.0008491710368071141,0.08435727680652765
genden,0.0036959194112569094,0.0008459986882212089,0.08520327549474885
colombianos,0.003679313464090228,0.000842197574626336,0.08604547306937518
morras,0.0036627505905926228,0.0008384063206261892,0.08688387939000138
reflejados,0.003627545643775236,0.0008303478822479893,0.08771422727224937
ami,0.003612878949691852,0.0008269906651189327,0.0885412179373683
lizyluis,0.0036033433862030506,0.0008248079675800184,0.08936602590494831
firma,0.003596009686589241,0.0008231292783114714,0.09018915518325979
arosadr,0.0035821341443806887,0.0008199531564320171,0.09100910833969181
ultramannnn,0.003558371216058731,0.0008145138045545274,0.09182362214424633
